system:index,AOD,NDVI,OSI,Risk_Level,Temp,Year,.geo
"8588,3164",721.5026737967914,0.387295567670064,750.4058660339994,High,29.29048780487807,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.14731660018451,28.42269558954166],[77.1562997530257,28.42269558954166],[77.1562997530257,28.431678742382857],[77.14731660018451,28.431678742382857],[77.14731660018451,28.42269558954166]]]}"
"8589,3164",732.2868852459017,0.3209693372898121,760.9973793232459,High,29.031463414634175,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1562997530257,28.42269558954166],[77.1652829058669,28.42269558954166],[77.1652829058669,28.431678742382857],[77.1562997530257,28.431678742382857],[77.1562997530257,28.42269558954166]]]}"
"8590,3164",731.0111111111111,0.3453343130051433,759.7538720362011,High,29.088095238095264,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1652829058669,28.42269558954166],[77.1742660587081,28.42269558954166],[77.1742660587081,28.431678742382857],[77.1652829058669,28.431678742382857],[77.1652829058669,28.42269558954166]]]}"
"8591,3164",733.4646739130435,0.30477759472817134,762.6132296516487,High,29.453333333333376,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1742660587081,28.42269558954166],[77.1832492115493,28.42269558954166],[77.1832492115493,28.431678742382857],[77.1742660587081,28.431678742382857],[77.1742660587081,28.42269558954166]]]}"
"8592,3164",729.4086021505376,0.2764780454073989,758.904028867035,High,29.771904761904807,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1832492115493,28.42269558954166],[77.19223236439049,28.42269558954166],[77.19223236439049,28.431678742382857],[77.1832492115493,28.431678742382857],[77.1832492115493,28.42269558954166]]]}"
"8593,3164",738.5406824146982,0.24625498437331608,768.3097932839835,High,30.01536585365858,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.19223236439049,28.42269558954166],[77.20121551723167,28.42269558954166],[77.20121551723167,28.431678742382857],[77.19223236439049,28.431678742382857],[77.19223236439049,28.42269558954166]]]}"
"8594,3164",728.3163538873995,0.32343063807801603,757.8336549566386,High,29.840731707317104,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.20121551723167,28.42269558954166],[77.21019867007287,28.42269558954166],[77.21019867007287,28.431678742382857],[77.20121551723167,28.431678742382857],[77.20121551723167,28.42269558954166]]]}"
"8595,3164",719.6284916201117,0.38346260023662415,748.7594192637777,High,29.514390243902483,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.21019867007287,28.42269558954166],[77.21918182291407,28.42269558954166],[77.21918182291407,28.431678742382857],[77.21019867007287,28.431678742382857],[77.21019867007287,28.42269558954166]]]}"
"8596,3164",708.4676470588236,0.3406439570695287,737.5931006627296,High,29.46609756097564,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.21918182291407,28.42269558954166],[77.22816497575526,28.42269558954166],[77.22816497575526,28.431678742382857],[77.21918182291407,28.431678742382857],[77.21918182291407,28.42269558954166]]]}"
"8597,3164",694.2035398230089,0.3764624913971094,723.0689820935166,High,29.241904761904777,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.22816497575526,28.42269558954166],[77.23714812859646,28.42269558954166],[77.23714812859646,28.431678742382857],[77.22816497575526,28.431678742382857],[77.22816497575526,28.42269558954166]]]}"
"8598,3164",699.9737609329446,0.3643389456251725,728.6251362730338,High,29.015714285714296,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.23714812859646,28.42269558954166],[77.24613128143766,28.42269558954166],[77.24613128143766,28.431678742382857],[77.23714812859646,28.431678742382857],[77.23714812859646,28.42269558954166]]]}"
"8585,3165",706.8722826086956,0.3016045689420723,736.084011373087,High,29.513333333333378,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.12036714166092,28.431678742382857],[77.12935029450212,28.431678742382857],[77.12935029450212,28.440661895224054],[77.12036714166092,28.440661895224054],[77.12036714166092,28.431678742382857]]]}"
"8586,3165",712.6346666666667,0.28257469750596753,741.8720919691608,High,29.52000000000004,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.12935029450212,28.431678742382857],[77.13833344734331,28.431678742382857],[77.13833344734331,28.440661895224054],[77.12935029450212,28.440661895224054],[77.12935029450212,28.431678742382857]]]}"
"8587,3165",721.0106100795756,0.2662353819358049,750.1077080309732,High,29.363333333333344,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.13833344734331,28.431678742382857],[77.14731660018451,28.431678742382857],[77.14731660018451,28.440661895224054],[77.13833344734331,28.440661895224054],[77.13833344734331,28.431678742382857]]]}"
"8588,3165",726.8702702702702,0.2927395035954535,755.6665551569187,High,29.089024390243935,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.14731660018451,28.431678742382857],[77.1562997530257,28.431678742382857],[77.1562997530257,28.440661895224054],[77.14731660018451,28.440661895224054],[77.14731660018451,28.431678742382857]]]}"
"8589,3165",723.5616438356165,0.3899874843554443,752.270924643944,High,29.09926829268295,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1562997530257,28.431678742382857],[77.1652829058669,28.431678742382857],[77.1652829058669,28.440661895224054],[77.1562997530257,28.440661895224054],[77.1562997530257,28.431678742382857]]]}"
"8590,3165",730.2288828337875,0.36180365024454253,759.2004125168763,High,29.33333333333337,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1652829058669,28.431678742382857],[77.1742660587081,28.431678742382857],[77.1742660587081,28.440661895224054],[77.1652829058669,28.440661895224054],[77.1652829058669,28.431678742382857]]]}"
"8591,3165",723.3041095890411,0.21195274496177902,752.8402520821746,High,29.74809523809523,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1742660587081,28.431678742382857],[77.1832492115493,28.431678742382857],[77.1832492115493,28.440661895224054],[77.1742660587081,28.440661895224054],[77.1742660587081,28.431678742382857]]]}"
"8592,3165",723.3041095890411,0.2775891341256367,752.7746156930108,High,29.74809523809523,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1832492115493,28.431678742382857],[77.19223236439049,28.431678742382857],[77.19223236439049,28.440661895224054],[77.1832492115493,28.440661895224054],[77.1832492115493,28.431678742382857]]]}"
"8593,3165",721.3890410958904,0.26087893149504526,751.3091145453478,High,30.18095238095242,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.19223236439049,28.431678742382857],[77.20121551723167,28.431678742382857],[77.20121551723167,28.440661895224054],[77.19223236439049,28.440661895224054],[77.19223236439049,28.431678742382857]]]}"
"8594,3165",723.7378378378378,0.3244729605866178,753.8453160967634,High,30.4319512195122,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.20121551723167,28.431678742382857],[77.21019867007287,28.431678742382857],[77.21019867007287,28.440661895224054],[77.20121551723167,28.440661895224054],[77.20121551723167,28.431678742382857]]]}"
"8595,3165",725.3945945945947,0.32591979178989705,755.3074552906096,High,30.23878048780489,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.21019867007287,28.431678742382857],[77.21918182291407,28.431678742382857],[77.21918182291407,28.440661895224054],[77.21019867007287,28.440661895224054],[77.21019867007287,28.431678742382857]]]}"
"8596,3165",724.1983240223464,0.2980982382452456,753.8980306621498,High,29.997804878048782,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.21918182291407,28.431678742382857],[77.22816497575526,28.431678742382857],[77.22816497575526,28.440661895224054],[77.21918182291407,28.440661895224054],[77.21918182291407,28.431678742382857]]]}"
"8597,3165",699.7492625368732,0.32270506556955514,729.1950940566694,High,29.768536585365894,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.22816497575526,28.431678742382857],[77.23714812859646,28.431678742382857],[77.23714812859646,28.440661895224054],[77.22816497575526,28.440661895224054],[77.22816497575526,28.431678742382857]]]}"
"8598,3165",693.2633136094674,0.3361028170842529,722.1434012685737,High,29.21619047619049,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.23714812859646,28.431678742382857],[77.24613128143766,28.431678742382857],[77.24613128143766,28.440661895224054],[77.23714812859646,28.440661895224054],[77.23714812859646,28.431678742382857]]]}"
"8584,3166",708.3065476190476,0.35988160904076416,736.8473977173239,High,28.900731707317107,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.11138398881972,28.440661895224054],[77.12036714166092,28.440661895224054],[77.12036714166092,28.449645048065246],[77.11138398881972,28.449645048065246],[77.11138398881972,28.440661895224054]]]}"
"8585,3166",702.5270655270655,0.3288924743574969,731.2500778146127,High,29.05190476190478,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.12036714166092,28.440661895224054],[77.12935029450212,28.440661895224054],[77.12935029450212,28.449645048065246],[77.12036714166092,28.449645048065246],[77.12036714166092,28.440661895224054]]]}"
"8586,3166",717.0572207084468,0.3466753798398955,745.9614977095594,High,29.250952380952413,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.12935029450212,28.440661895224054],[77.13833344734331,28.440661895224054],[77.13833344734331,28.449645048065246],[77.12935029450212,28.449645048065246],[77.12935029450212,28.440661895224054]]]}"
"8587,3166",715.9056603773585,0.32962697274031566,744.7303191189038,High,29.154285714285777,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.13833344734331,28.440661895224054],[77.14731660018451,28.440661895224054],[77.14731660018451,28.449645048065246],[77.13833344734331,28.449645048065246],[77.13833344734331,28.440661895224054]]]}"
